session_id,date,start_time,end_time,station_id,station_name,city,area,latitude,longitude,charger_type,number_of_chargers,vehicle_type,energy_consumed_kwh,charging_duration_minutes,waiting_time_minutes,charging_cost,revenue,session_status,day_of_week,hour,month,peak_hour,weather_condition,is_synthetic
SESS110245,2024-05-17,2024-05-17 17:36:00,2024-05-17 17:49:59.932332624,ST1048,Jayanagar EV Hub 1048,Bengaluru,Jayanagar,12.92984,77.58117,DC Fast (50kW),3,2-Wheeler,1.34,14.0,14.5,20.41,20.41,Completed,4,17,5,False,Cloudy,True
SESS116578,2024-04-03,2024-04-03 13:13:00,2024-04-03 13:16:00.000000000,ST1073,Kukatpally EV Hub 1073,Hyderabad,Kukatpally,17.34306,78.42588,DC Fast (50kW),3,3-Wheeler,3.96,3.0,13.7,62.8,62.8,Completed,2,13,4,False,Cloudy,True
SESS146260,2024-07-11,2024-07-11 17:42:00,2024-07-11 18:16:20.420307174,ST1030,Thane EV Hub 1030,Mumbai,Thane,19.1958,73.05253,AC Fast (7.4kW),5,2-Wheeler,2.7,34.3,2.2,31.0,31.0,Completed,3,17,7,False,Rain,True
SESS115768,2024-02-17,2024-02-17 10:41:00,2024-02-17 11:34:53.155970064,ST1030,Thane EV Hub 1030,Mumbai,Thane,19.1958,73.05253,AC Fast (7.4kW),5,3-Wheeler,5.15,53.9,9.0,56.05,56.05,Completed,5,10,2,False,Clear,True
SESS149088,2024-10-24,2024-10-24 01:57:00,2024-10-24 02:53:19.003444278,ST1015,Karol Bagh EV Hub 1015,Delhi,Karol Bagh,28.66538,77.19752,AC Slow (3.3kW),7,2-Wheeler,2.34,56.3,3.3,18.89,18.89,Completed,3,1,10,False,Cloudy,True
SESS122602,2024-08-05,2024-08-05 12:06:00,2024-08-05 12:34:12.522422352,ST1061,Baner EV Hub 1061,Pune,Baner,18.45366,73.92817,AC Fast (7.4kW),5,3-Wheeler,3.13,28.2,9.4,33.92,33.92,Cancelled,0,12,8,False,Clear,True
SESS167203,2024-08-19,2024-08-19 15:47:00,2024-08-19 15:56:04.917771726,ST1033,Borivali EV Hub 1033,Mumbai,Borivali,18.97552,72.84852,DC Fast (50kW),4,2-Wheeler,2.3,9.1,3.0,34.95,34.95,Completed,0,15,8,False,Clear,True
SESS172744,2024-03-17,2024-03-17 09:49:00,2024-03-17 10:17:31.897850495,ST1040,Koramangala EV Hub 1040,Bengaluru,Koramangala,13.03798,77.62033,DC Fast (50kW),5,Car - SUV,13.15,28.5,4.2,190.3,190.3,Completed,6,9,3,True,Clear,True
SESS180566,2024-01-24,2024-01-24 17:27:00,2024-01-24 18:10:42.977675040,ST1018,Andheri EV Hub 1018,Mumbai,Andheri,19.05422,72.8548,DC Fast (50kW),4,Car - Hatchback/Sedan,24.35,43.7,4.5,361.69,361.69,Cancelled,2,17,1,False,Clear,True
SESS168260,2024-08-22,2024-08-22 18:48:00,2024-08-22 19:21:58.468784436,ST1048,Jayanagar EV Hub 1048,Bengaluru,Jayanagar,12.92984,77.58117,DC Fast (50kW),3,Car - Hatchback/Sedan,18.49,34.0,5.6,276.4,276.4,Completed,3,18,8,True,Foggy,True
SESS116443,2024-06-22,2024-06-22 11:50:00,2024-06-22 12:13:53.387145000,ST1051,Hinjewadi EV Hub 1051,Pune,Hinjewadi,18.59275,73.81295,AC Fast (7.4kW),6,3-Wheeler,2.16,23.9,11.0,21.98,21.98,Completed,5,11,6,False,Clear,True
SESS148028,2024-09-25,2024-09-25 21:30:00,2024-09-25 22:01:28.164702450,ST1051,Hinjewadi EV Hub 1051,Pune,Hinjewadi,18.59275,73.81295,AC Fast (7.4kW),6,2-Wheeler,,31.5,9.0,,22.52,Completed,2,21,9,False,Clear,True
SESS166768,2024-10-21,2024-10-21 21:37:00,2024-10-21 22:07:13.224382188,ST1005,Dwarka EV Hub 1005,Delhi,Dwarka,28.68725,77.19973,DC Fast (50kW),2,Car - Hatchback/Sedan,16.39,30.2,14.2,233.68,233.68,Completed,0,21,10,False,Hot,True
SESS183150,2024-10-21,2024-10-21 22:24:00,2024-10-21 22:35:03.162063402,ST1035,Whitefield EV Hub 1035,Bengaluru,Whitefield,12.91369,77.55109,DC Ultra-Fast (150kW),1,2-Wheeler,1.25,11.1,1.6,25.54,25.54,Completed,0,22,10,False,Rain,True
SESS157205,2024-08-12,2024-08-12 16:06:00,2024-08-12 16:38:20.974703844,ST1030,Thane EV Hub 1030,Mumbai,Thane,19.1958,73.05253,AC Fast (7.4kW),5,Car - Hatchback/Sedan,2.62,32.3,26.9,27.89,27.89,Completed,0,16,8,False,Cloudy,True
SESS124763,2024-09-02,2024-09-02 02:53:00,2024-09-02 05:58:32.246479620,ST1057,Viman Nagar EV Hub 1057,Pune,Viman Nagar,18.43791,73.84241,AC Fast (7.4kW),3,Car - Hatchback/Sedan,19.2,185.5,4.9,198.54,198.54,Completed,0,2,9,False,Hot,True
SESS110286,2024-04-11,2024-04-11 08:29:00,2024-04-11 08:45:18.013195338,ST1050,Hinjewadi EV Hub 1050,Pune,Hinjewadi,18.46921,73.83946,DC Ultra-Fast (150kW),2,2-Wheeler,2.72,16.3,4.4,53.77,53.77,Completed,3,8,4,True,Rain,True
SESS148300,2024-05-19,2024-05-19 19:01:00,2024-05-19 22:10:32.226387066,ST1061,Baner EV Hub 1061,Pune,Baner,18.45366,73.92817,AC Fast (7.4kW),5,Car - Hatchback/Sedan,19.0,189.5,47.4,192.49,192.49,Cancelled,6,19,5,True,Hot,True
SESS172102,2024-12-12,2024-12-12 00:46:00,2024-12-12 02:35:09.695113224,ST1016,Andheri EV Hub 1016,Mumbai,Andheri,19.10583,72.88625,AC Fast (7.4kW),7,Car - Hatchback/Sedan,10.43,109.2,23.2,116.35,116.35,Completed,3,0,12,False,Cloudy,True
SESS169061,2024-03-05,2024-03-05 20:56:00,2024-03-05 21:16:31.307942868,ST1057,Viman Nagar EV Hub 1057,Pune,Viman Nagar,18.43791,73.84241,AC Fast (7.4kW),3,2-Wheeler,2.29,20.5,10.0,23.39,23.39,Completed,1,20,3,True,Clear,True
SESS136926,2024-12-31,2024-12-31 07:57:00,2024-12-31 08:01:05.018966544,ST1059,Viman Nagar EV Hub 1059,Pune,Viman Nagar,18.52359,73.85671,DC Fast (50kW),5,2-Wheeler,2.02,4.1,5.5,30.66,30.66,Completed,1,7,12,False,Clear,True
SESS110927,2024-11-09,2024-11-09 19:29:00,2024-11-09 19:58:26.009738202,ST1007,Rohini EV Hub 1007,Delhi,Rohini,28.58952,77.17827,DC Fast (50kW),2,Car - SUV,15.82,29.4,4.8,247.26,247.26,Completed,5,19,11,True,Clear,True
SESS128509,2024-03-20,2024-03-20 11:14:00,2024-03-20 11:56:43.112024904,ST1030,Thane EV Hub 1030,Mumbai,Thane,19.1958,73.05253,AC Fast (7.4kW),5,3-Wheeler,3.42,42.7,8.3,37.98,37.98,Completed,2,11,3,False,Cloudy,True
SESS169027,2024-05-13,2024-05-13 03:48:00,2024-05-13 04:04:08.807988876,ST1061,Baner EV Hub 1061,Pune,Baner,18.45366,73.92817,AC Fast (7.4kW),5,2-Wheeler,0.87,16.1,7.6,9.59,9.59,Completed,0,3,5,False,Clear,True
SESS184602,2024-11-27,2024-11-27 09:23:00,2024-11-27 10:46:22.305218874,ST1058,Viman Nagar EV Hub 1058,Pune,Viman Nagar,18.48708,73.88499,AC Slow (3.3kW),5,3-Wheeler,3.69,83.4,10.2,32.55,32.55,Completed,2,9,11,True,Clear,True
SESS123714,2024-04-29,2024-04-29 02:01:00,2024-04-29 03:08:33.188072292,ST1055,Kothrud EV Hub 1055,Pune,Kothrud,18.45011,73.83461,DC Fast (50kW),3,Light Commercial,40.78,67.6,11.5,568.45,568.45,Completed,0,2,4,False,Clear,True
SESS148506,2024-06-16,2024-06-16 09:24:00,2024-06-16 09:35:00.980244233,ST1073,Kukatpally EV Hub 1073,Hyderabad,Kukatpally,17.34306,78.42588,DC Fast (50kW),3,2-Wheeler,2.52,11.0,4.0,33.94,33.94,Completed,6,9,6,True,Cloudy,True
SESS129435,2024-10-14,2024-10-14 09:53:00,2024-10-14 16:43:10.905455484,ST1061,Baner EV Hub 1061,Pune,Baner,18.45366,73.92817,AC Fast (7.4kW),5,Light Commercial,42.05,410.2,16.4,419.11,419.11,Completed,0,9,10,True,Cloudy,True
SESS141611,2024-04-26,2024-04-26 21:45:00,2024-04-27 05:52:40.871019612,ST1062,Baner EV Hub 1062,Pune,Baner,18.57605,73.88397,AC Slow (3.3kW),6,Car - SUV,22.48,487.7,19.4,200.04,200.04,Completed,4,21,4,False,Hot,True
SESS135294,2024-08-03,2024-08-03 14:22:00,2024-08-03 14:47:13.041027276,ST1070,Kukatpally EV Hub 1070,Hyderabad,Kukatpally,17.3143,78.53364,AC Fast (7.4kW),6,2-Wheeler,2.42,25.2,7.3,24.29,24.29,Completed,5,14,8,False,Rain,True
SESS177772,2024-09-27,2024-09-27 09:21:00,2024-09-27 09:58:25.779194688,ST1060,Viman Nagar EV Hub 1060,Pune,Viman Nagar,18.51456,73.98229,DC Fast (50kW),3,Car - Hatchback/Sedan,18.97,37.4,21.7,267.4,267.4,Completed,4,9,9,True,Clear,True
SESS149675,2024-10-13,2024-10-13 08:19:00,2024-10-13 09:12:10.996738290,ST1058,Viman Nagar EV Hub 1058,Pune,Viman Nagar,18.48708,73.88499,AC Slow (3.3kW),5,2-Wheeler,2.04,53.2,16.2,17.52,17.52,Completed,6,8,10,True,Rain,True
SESS172882,2024-04-24,2024-04-24 00:50:00,2024-04-24 06:44:18.150569910,ST1032,Borivali EV Hub 1032,Mumbai,Borivali,19.06755,72.94166,AC Fast (7.4kW),5,Car - SUV,36.33,354.3,2.8,388.34,388.34,Completed,2,0,4,False,Hot,True
SESS151973,2024-06-06,2024-06-06 16:02:00,2024-06-06 16:39:35.304065700,ST1005,Dwarka EV Hub 1005,Delhi,Dwarka,28.68725,77.19973,DC Fast (50kW),2,Car - Hatchback/Sedan,18.29,37.6,11.0,254.78,254.78,Completed,3,16,6,False,Cloudy,True
SESS122857,2024-05-08,2024-05-08 08:34:00,2024-05-08 18:15:42.931660308,ST1061,Baner EV Hub 1061,Pune,Baner,18.45366,73.92817,AC Fast (7.4kW),5,Light Commercial,60.08,581.7,20.4,683.38,683.38,Completed,2,8,5,True,,True
SESS126970,2024-05-24,2024-05-24 22:50:00,2024-05-24 23:43:15.810109440,ST1062,Baner EV Hub 1062,Pune,Baner,18.57605,73.88397,AC Slow (3.3kW),6,2-Wheeler,1.99,53.3,5.5,17.15,17.15,Completed,4,22,5,False,Clear,True
SESS176363,2024-05-15,2024-05-15 17:50:00,2024-05-15 18:29:39.683530566,ST1021,Bandra EV Hub 1021,Mumbai,Bandra,18.99664,72.81787,AC Fast (7.4kW),5,3-Wheeler,3.46,39.7,14.9,35.47,35.47,Failed,2,17,5,False,Hot,True
SESS136379,2024-02-23,2024-02-23 18:53:00,2024-02-23 19:35:35.867921994,ST1052,Hinjewadi EV Hub 1052,Pune,Hinjewadi,18.51064,73.79296,DC Fast (50kW),5,Car - SUV,29.99,42.6,23.5,460.86,460.86,Completed,4,18,2,True,Rain,True
SESS131891,2024-03-16,2024-03-16 22:16:00,2024-03-16 23:16:15.542701848,ST1009,Rohini EV Hub 1009,Delhi,Rohini,28.6585,77.24159,AC Fast (7.4kW),5,3-Wheeler,6.44,60.3,7.1,72.88,72.88,Failed,5,22,3,False,Foggy,True
SESS129139,2024-01-11,2024-01-11 12:40:00,2024-01-11 13:16:50.841844434,ST1034,Borivali EV Hub 1034,Mumbai,Borivali,19.18208,72.88552,AC Fast (7.4kW),3,3-Wheeler,3.67,36.8,1.3,35.56,35.56,Completed,3,12,1,False,Clear,True
SESS148697,2024-06-11,2024-06-11 23:51:00,2024-06-12 00:25:29.330235210,ST1026,Powai EV Hub 1026,Mumbai,Powai,19.06164,72.81629,DC Fast (50kW),5,Car - SUV,17.96,34.5,1.1,274.98,274.98,Cancelled,1,23,6,False,Foggy,True
SESS173630,2024-10-16,2024-10-16 16:23:00,2024-10-16 16:53:02.095805844,ST1046,Electronic City EV Hub 1046,Bengaluru,Electronic City,12.89202,77.59644,DC Fast (50kW),4,Car - Hatchback/Sedan,14.12,30.0,6.3,223.02,223.02,Failed,2,16,10,False,Hot,True
SESS118294,2024-11-02,2024-11-02 20:53:00,2024-11-02 21:23:07.305760308,ST1008,Rohini EV Hub 1008,Delhi,Rohini,28.60706,77.15859,AC Fast (7.4kW),3,2-Wheeler,2.39,30.1,2.7,25.31,25.31,Failed,5,20,11,True,Clear,True
SESS111749,2024-04-20,2024-04-20 01:43:00,2024-04-20 03:38:05.543719224,ST1028,Thane EV Hub 1028,Mumbai,Thane,19.02041,72.85431,AC Slow (3.3kW),5,3-Wheeler,5.2,115.1,3.9,48.59,48.59,Completed,5,1,4,False,Clear,True
SESS154875,2024-08-13,2024-08-13 20:47:00,2024-08-14 02:05:22.480770720,ST1051,Hinjewadi EV Hub 1051,Pune,Hinjewadi,18.59275,73.81295,AC Fast (7.4kW),6,Car - SUV,32.72,318.4,21.9,345.18,345.18,Completed,1,20,8,True,Clear,True
SESS127419,2024-08-27,2024-08-27 21:08:00,2024-08-27 21:58:13.561487886,ST1020,Bandra EV Hub 1020,Mumbai,Bandra,19.0506,72.87292,DC Fast (50kW),3,Car - Hatchback/Sedan,24.29,50.2,7.7,322.45,322.45,Failed,1,21,8,False,Hot,True
SESS120991,2024-07-05,2024-07-05 07:55:00,2024-07-05 07:58:27.324320418,ST1060,Viman Nagar EV Hub 1060,Pune,Viman Nagar,18.51456,73.98229,DC Fast (50kW),3,2-Wheeler,2.49,3.5,20.1,37.45,37.45,Completed,4,7,7,False,Hot,True
SESS131091,2024-02-04,2024-02-04 17:45:00,2024-02-05 02:01:28.186387728,ST1056,Kothrud EV Hub 1056,Pune,Kothrud,18.50568,73.90334,AC Slow (3.3kW),5,Car - SUV,22.66,496.5,1.4,200.51,200.51,Completed,6,17,2,False,Rain,True
SESS131616,2024-10-22,2024-10-22 17:18:00,2024-10-22 17:29:37.927694520,ST1052,Hinjewadi EV Hub 1052,Pune,Hinjewadi,18.51064,73.79296,DC Fast (50kW),5,2-Wheeler,1.29,11.6,10.2,18.93,18.93,Completed,1,17,10,False,Rain,True
SESS154697,2024-12-16,2024-12-16 08:43:00,2024-12-16 09:30:25.233463314,ST1053,Hinjewadi EV Hub 1053,Pune,Hinjewadi,18.46779,73.85104,DC Fast (50kW),5,Car - SUV,24.52,47.4,10.4,344.18,344.18,Completed,0,8,12,True,Clear,True
SESS169861,2024-07-12,2024-07-12 21:27:00,2024-07-12 21:42:09.031582920,ST1050,Hinjewadi EV Hub 1050,Pune,Hinjewadi,18.46921,73.83946,DC Ultra-Fast (150kW),2,Car - SUV,19.75,15.2,0.9,360.63,360.63,Completed,4,21,7,False,Hot,True
SESS150359,2024-08-20,2024-08-20 12:03:00,2024-08-20 12:28:25.970100468,ST1019,Andheri EV Hub 1019,Mumbai,Andheri,19.07675,72.90654,DC Fast (50kW),4,Car - Hatchback/Sedan,17.82,25.4,11.8,278.45,278.45,Completed,1,12,8,False,Clear,True
SESS132172,2024-07-23,2024-07-23 21:20:00,2024-07-24 00:30:19.724508798,ST1067,Gachibowli EV Hub 1067,Hyderabad,Gachibowli,17.32183,78.46663,AC Fast (7.4kW),4,Car - Hatchback/Sedan,19.97,190.3,19.7,208.86,208.86,Completed,1,21,7,False,Cloudy,True
SESS177381,2024-05-07,2024-05-07 09:01:00,2024-05-07 19:30:34.931696478,ST1062,Baner EV Hub 1062,Pune,Baner,18.57605,73.88397,AC Slow (3.3kW),6,Car - SUV,28.65,629.6,5.9,276.07,276.07,Completed,1,9,5,True,Rain,True
SESS102277,2024-03-09,2024-03-09 10:25:00,2024-03-09 11:35:56.700526338,ST1044,Indiranagar EV Hub 1044,Bengaluru,Indiranagar,12.97704,77.63324,AC Slow (3.3kW),9,2-Wheeler,2.74,70.9,8.3,22.25,22.25,Completed,5,10,3,False,Rain,True
SESS102529,2024-07-14,2024-07-14 16:33:00,2024-07-14 17:06:20.254643298,ST1021,Bandra EV Hub 1021,Mumbai,Bandra,18.99664,72.81787,AC Fast (7.4kW),5,2-Wheeler,2.8,33.3,13.4,28.76,28.76,Completed,6,16,7,False,Clear,True
SESS146799,2024-02-14,2024-02-14 16:45:00,2024-02-15 00:08:30.120063606,ST1029,Thane EV Hub 1029,Mumbai,Thane,19.06267,72.78945,AC Fast (7.4kW),5,Light Commercial,46.5,443.5,10.6,511.24,511.24,Completed,2,16,2,False,Cloudy,True
SESS152589,2024-01-02,2024-01-02 22:50:00,2024-01-03 07:15:30.604080204,ST1064,Hitech City EV Hub 1064,Hyderabad,Hitech City,17.39415,78.57499,AC Slow (3.3kW),8,Car - Hatchback/Sedan,23.56,505.5,8.3,201.31,201.31,Completed,1,22,1,False,Cloudy,True
SESS117280,2024-03-13,2024-03-13 09:34:00,2024-03-13 11:21:25.819036956,ST1062,Baner EV Hub 1062,Pune,Baner,18.57605,73.88397,AC Slow (3.3kW),6,3-Wheeler,5.34,107.4,23.3,44.85,44.85,Completed,2,9,3,True,Clear,True
SESS127228,2024-12-02,2024-12-02 16:45:00,2024-12-02 16:48:00.000000000,ST1060,Viman Nagar EV Hub 1060,Pune,Viman Nagar,18.51456,73.98229,DC Fast (50kW),3,2-Wheeler,2.64,3.0,30.8,38.01,38.01,Completed,0,16,12,False,Clear,True
SESS147477,2024-09-13,2024-09-13 13:41:00,2024-09-13 14:11:41.647182570,ST1066,Hitech City EV Hub 1066,Hyderabad,Hitech City,17.48864,78.39467,AC Fast (7.4kW),4,2-Wheeler,3.01,30.7,9.7,32.31,32.31,Completed,4,13,9,False,Clear,True
SESS173040,2024-03-07,2024-03-07 19:44:00,2024-03-07 20:08:25.136218248,ST1029,Thane EV Hub 1029,Mumbai,Thane,19.06267,72.78945,AC Fast (7.4kW),5,2-Wheeler,1.86,24.4,13.4,20.5,20.5,Completed,3,19,3,True,Rain,True
SESS183518,2024-11-12,2024-11-12 19:45:00,2024-11-12 20:00:56.666666292,ST1018,Andheri EV Hub 1018,Mumbai,Andheri,19.05422,72.8548,DC Fast (50kW),4,2-Wheeler,1.55,15.9,28.8,23.12,23.12,Completed,1,19,11,True,Clear,True
SESS160441,2024-03-04,2024-03-04 20:11:00,2024-03-04 20:35:37.156786176,ST1005,Dwarka EV Hub 1005,Delhi,Dwarka,28.68725,77.19973,DC Fast (50kW),2,Car - Hatchback/Sedan,13.02,24.6,15.1,178.48,178.48,Failed,0,20,3,True,Rain,True
SESS111820,2024-01-30,2024-01-30 06:26:00,2024-01-30 07:27:22.491726948,ST1073,Kukatpally EV Hub 1073,Hyderabad,Kukatpally,17.34306,78.42588,DC Fast (50kW),3,Car - SUV,33.21,61.4,4.2,574.37,574.37,Completed,1,6,1,False,Hot,True
SESS110658,2024-02-11,2024-02-11 16:52:00,2024-02-12 01:55:56.340476634,ST1011,Saket EV Hub 1011,Delhi,Saket,28.63125,77.24688,AC Slow (3.3kW),8,Car - SUV,24.66,543.9,7.2,207.36,207.36,Completed,6,16,2,False,Cloudy,True
SESS164930,2024-11-29,2024-11-29 16:42:00,2024-11-29 17:34:52.588853298,ST1062,Baner EV Hub 1062,Pune,Baner,18.57605,73.88397,AC Slow (3.3kW),6,2-Wheeler,2.22,52.9,28.9,19.34,19.34,Completed,4,16,11,False,Clear,True
SESS105845,2024-08-29,2024-08-29 21:46:00,2024-08-29 22:13:12.694879962,ST1016,Andheri EV Hub 1016,Mumbai,Andheri,19.10583,72.88625,AC Fast (7.4kW),7,2-Wheeler,1.97,27.2,26.1,21.12,21.12,Completed,3,21,8,False,Clear,True
SESS127149,2024-07-10,2024-07-10 13:37:00,2024-07-10 16:20:01.006634622,ST1016,Andheri EV Hub 1016,Mumbai,Andheri,19.10583,72.88625,AC Fast (7.4kW),7,Car - Hatchback/Sedan,16.66,163.0,10.8,181.22,181.22,Completed,2,13,7,False,Clear,True
SESS117157,2024-09-21,2024-09-21 19:57:00,2024-09-21 20:29:03.779044176,ST1024,Powai EV Hub 1024,Mumbai,Powai,19.10207,72.89196,AC Fast (7.4kW),5,2-Wheeler,3.08,32.1,22.4,31.82,31.82,Completed,5,19,9,True,Clear,True
SESS125163,2024-07-09,2024-07-09 17:03:00,2024-07-09 17:17:47.790726780,ST1061,Baner EV Hub 1061,Pune,Baner,18.45366,73.92817,AC Fast (7.4kW),5,2-Wheeler,1.54,14.8,7.0,16.34,16.34,Completed,1,17,7,False,Clear,True
SESS165309,2024-09-19,2024-09-19 20:52:00,2024-09-19 21:06:09.097921704,ST1047,Jayanagar EV Hub 1047,Bengaluru,Jayanagar,12.95194,77.65477,DC Ultra-Fast (150kW),1,Car - Hatchback/Sedan,21.41,14.2,12.8,430.57,430.57,Cancelled,3,20,9,True,Cloudy,True
SESS104854,2024-03-04,2024-03-04 11:44:00,2024-03-04 20:08:11.129389452,ST1015,Karol Bagh EV Hub 1015,Delhi,Karol Bagh,28.66538,77.19752,AC Slow (3.3kW),7,Light Commercial,23.39,504.2,3.8,179.36,179.36,Completed,0,11,3,False,Rain,True
SESS153297,2024-08-26,2024-08-26 13:22:00,2024-08-26 13:29:10.629719892,ST1039,Koramangala EV Hub 1039,Bengaluru,Koramangala,12.98875,77.67296,DC Fast (50kW),5,2-Wheeler,0.78,7.2,8.6,12.56,12.56,Completed,0,13,8,False,Clear,True
SESS107062,2024-10-20,2024-10-20 12:50:00,2024-10-20 13:32:17.950015644,ST1016,Andheri EV Hub 1016,Mumbai,Andheri,19.10583,72.88625,AC Fast (7.4kW),7,2-Wheeler,3.23,42.3,22.0,34.45,34.45,Completed,6,12,10,False,Hot,True
SESS113710,2024-08-29,2024-08-29 06:11:00,2024-08-29 12:51:46.773236784,ST1027,Thane EV Hub 1027,Mumbai,Thane,19.12611,72.89911,AC Slow (3.3kW),6,Car - Hatchback/Sedan,18.63,400.8,1.8,165.57,165.57,Completed,3,6,8,False,Clear,True
SESS126652,2024-09-10,2024-09-10 22:44:00,2024-09-10 23:39:22.000727964,ST1064,Hitech City EV Hub 1064,Hyderabad,Hitech City,17.39415,78.57499,AC Slow (3.3kW),8,2-Wheeler,2.44,55.4,3.6,22.06,22.06,Completed,1,22,9,False,Cloudy,True
SESS182740,2024-07-22,2024-07-22 18:50:00,2024-07-22 19:43:25.196206590,ST1051,Hinjewadi EV Hub 1051,Pune,Hinjewadi,18.59275,73.81295,AC Fast (7.4kW),6,3-Wheeler,5.03,53.4,21.7,54.29,54.29,Completed,0,18,7,True,Clear,True
SESS159934,2024-08-30,2024-08-30 01:17:00,2024-08-30 01:59:17.086661285,ST1054,Kothrud EV Hub 1054,Pune,Kothrud,18.44315,73.79089,DC Fast (50kW),3,Light Commercial,24.95,42.3,6.5,352.08,352.08,Completed,4,1,8,False,Foggy,True
SESS164333,2024-03-07,2024-03-07 20:20:00,2024-03-07 23:05:21.685809666,ST1037,Koramangala EV Hub 1037,Bengaluru,Koramangala,12.93231,77.62136,AC Fast (7.4kW),6,Car - SUV,-16.73,165.4,10.7,156.18,156.18,Completed,3,20,3,True,Rain,True
SESS141139,2024-02-07,2024-02-07 09:01:00,2024-02-07 09:12:13.635858648,ST1006,Dwarka EV Hub 1006,Delhi,Dwarka,28.64584,77.23093,DC Fast (50kW),5,3-Wheeler,3.93,11.2,11.3,59.06,59.06,Completed,2,9,2,True,Cloudy,True
