station_id,station_name,city,area,number_of_chargers,avg_utilization_rate,peak_utilization_rate,active_station_hours,total_sessions,utilization_classification
ST1019,Andheri Ev Hub 1019,Mumbai,Andheri,4,0.09115194162105811,0.3333333333333333,1279,1399,LOW
ST1020,Bandra Ev Hub 1020,Mumbai,Bandra,3,0.12116316639741519,0.3333333333333333,1238,1350,LOW
ST1021,Bandra Ev Hub 1021,Mumbai,Bandra,5,0.08098681412165036,0.3333333333333333,2351,2856,LOW
ST1022,Bandra Ev Hub 1022,Mumbai,Bandra,2,0.1788656527249683,0.6666666666666666,1052,1129,MODERATE
ST1023,Powai Ev Hub 1023,Mumbai,Powai,5,0.07339913945836497,0.26666666666666666,1317,1450,LOW
ST1024,Powai Ev Hub 1024,Mumbai,Powai,5,0.07323076923076924,0.2,1300,1428,LOW
ST1025,Powai Ev Hub 1025,Mumbai,Powai,5,0.07058823529411765,0.26666666666666666,714,756,LOW
ST1026,Powai Ev Hub 1026,Mumbai,Powai,5,0.07135416666666666,0.2,640,685,LOW
ST1027,Thane Ev Hub 1027,Mumbai,Thane,6,0.05817901234567901,0.16666666666666666,720,754,LOW
ST1028,Thane Ev Hub 1028,Mumbai,Thane,5,0.07344632768361582,0.26666666666666666,1239,1365,LOW
ST1029,Thane Ev Hub 1029,Mumbai,Thane,5,0.07054726368159203,0.2,670,709,LOW
ST1030,Thane Ev Hub 1030,Mumbai,Thane,5,0.08242224962323606,0.3333333333333333,2433,3008,LOW
ST1031,Borivali Ev Hub 1031,Mumbai,Borivali,1,0.3467741935483871,0.6666666666666666,496,516,MODERATE
ST1032,Borivali Ev Hub 1032,Mumbai,Borivali,5,0.07045993361782835,0.2,703,743,LOW
ST1033,Borivali Ev Hub 1033,Mumbai,Borivali,4,0.08726415094339622,0.25,636,666,LOW
ST1034,Borivali Ev Hub 1034,Mumbai,Borivali,3,0.1154206483042908,0.2222222222222222,593,616,LOW
ST1035,Whitefield Ev Hub 1035,Bengaluru,Whitefield,1,0.35540626999360203,1.0,1042,1111,HIGH
ST1036,Whitefield Ev Hub 1036,Bengaluru,Whitefield,4,0.08556832694763729,0.16666666666666666,261,268,LOW
ST1037,Koramangala Ev Hub 1037,Bengaluru,Koramangala,6,0.06278976818545164,0.2222222222222222,1390,1571,LOW
ST1038,Koramangala Ev Hub 1038,Bengaluru,Koramangala,7,0.05058766509148188,0.14285714285714285,786,835,LOW
ST1039,Koramangala Ev Hub 1039,Bengaluru,Koramangala,5,0.06841448189762796,0.13333333333333333,267,274,LOW
ST1040,Koramangala Ev Hub 1040,Bengaluru,Koramangala,5,0.0697565543071161,0.13333333333333333,712,745,LOW
ST1041,Indiranagar Ev Hub 1041,Bengaluru,Indiranagar,6,0.05641554867561059,0.1111111111111111,323,328,LOW
ST1042,Indiranagar Ev Hub 1042,Bengaluru,Indiranagar,5,0.07431446540880503,0.26666666666666666,1325,1477,LOW
ST1043,Indiranagar Ev Hub 1043,Bengaluru,Indiranagar,3,0.11710239651416121,0.2222222222222222,612,645,LOW
ST1044,Indiranagar Ev Hub 1044,Bengaluru,Indiranagar,9,0.04107312440645774,0.18518518518518517,1560,1730,LOW
ST1045,Electronic City Ev Hub 1045,Bengaluru,Electronic City,5,0.06998992950654583,0.2,662,695,LOW
ST1046,Electronic City Ev Hub 1046,Bengaluru,Electronic City,4,0.08913828689370484,0.25,646,691,LOW
ST1047,Jayanagar Ev Hub 1047,Bengaluru,Jayanagar,1,0.36328125,1.3333333333333333,1024,1116,HIGH
ST1048,Jayanagar Ev Hub 1048,Bengaluru,Jayanagar,3,0.12378328741965106,0.3333333333333333,1210,1348,LOW
ST1049,Jayanagar Ev Hub 1049,Bengaluru,Jayanagar,5,0.07096479195244627,0.2,729,776,LOW
ST1050,Hinjewadi Ev Hub 1050,Pune,Hinjewadi,2,0.173355629877369,0.3333333333333333,598,622,MODERATE
ST1051,Hinjewadi Ev Hub 1051,Pune,Hinjewadi,6,0.06855413105413105,0.2777777777777778,2496,3080,LOW
ST1052,Hinjewadi Ev Hub 1052,Pune,Hinjewadi,5,0.0747179487179487,0.26666666666666666,1300,1457,LOW
ST1053,Hinjewadi Ev Hub 1053,Pune,Hinjewadi,5,0.06889859291606017,0.13333333333333333,687,710,LOW
ST1054,Kothrud Ev Hub 1054,Pune,Kothrud,3,0.12048640118815555,0.3333333333333333,1197,1298,LOW
ST1055,Kothrud Ev Hub 1055,Pune,Kothrud,3,0.13354700854700852,0.4444444444444444,2184,2625,LOW
ST1056,Kothrud Ev Hub 1056,Pune,Kothrud,5,0.07370054305663305,0.26666666666666666,1289,1425,LOW
ST1057,Viman Nagar Ev Hub 1057,Pune,Viman Nagar,3,0.12234494477485132,0.4444444444444444,1177,1296,LOW
ST1058,Viman Nagar Ev Hub 1058,Pune,Viman Nagar,5,0.07404107894085622,0.2,1347,1496,LOW
ST1059,Viman Nagar Ev Hub 1059,Pune,Viman Nagar,5,0.07361213010516018,0.2,1363,1505,LOW
ST1060,Viman Nagar Ev Hub 1060,Pune,Viman Nagar,3,0.1321278825995807,0.4444444444444444,2120,2521,LOW
ST1061,Baner Ev Hub 1061,Pune,Baner,5,0.08160670423349227,0.3333333333333333,2307,2824,LOW
ST1062,Baner Ev Hub 1062,Pune,Baner,6,0.068681068270896,0.2777777777777778,2438,3014,LOW
ST1063,Baner Ev Hub 1063,Pune,Baner,3,0.11202938475665748,0.2222222222222222,242,244,LOW
ST1064,Hitech City Ev Hub 1064,Hyderabad,Hitech City,8,0.044356540084388184,0.125,790,841,LOW
ST1065,Hitech City Ev Hub 1065,Hyderabad,Hitech City,6,0.058679161088799635,0.16666666666666666,747,789,LOW
ST1066,Hitech City Ev Hub 1066,Hyderabad,Hitech City,4,0.08746006389776358,0.25,626,657,LOW
ST1067,Gachibowli Ev Hub 1067,Hyderabad,Gachibowli,4,0.09320987654320988,0.3333333333333333,1215,1359,LOW
ST1068,Gachibowli Ev Hub 1068,Hyderabad,Gachibowli,3,0.11641842150316727,0.3333333333333333,649,680,LOW
ST1069,Gachibowli Ev Hub 1069,Hyderabad,Gachibowli,5,0.07000476871721506,0.13333333333333333,699,734,LOW
ST1070,Kukatpally Ev Hub 1070,Hyderabad,Kukatpally,6,0.05834885164494103,0.16666666666666666,716,752,LOW
ST1071,Kukatpally Ev Hub 1071,Hyderabad,Kukatpally,5,0.07101234567901234,0.26666666666666666,675,719,LOW
ST1072,Kukatpally Ev Hub 1072,Hyderabad,Kukatpally,4,0.08547794117647059,0.16666666666666666,272,279,LOW
ST1073,Kukatpally Ev Hub 1073,Hyderabad,Kukatpally,3,0.11540526033279655,0.2222222222222222,621,645,LOW
